,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,연도,연봉
250,251,이교훈,21두,-0.21,11,0,0,0,0,0,0,0.0,8.1,10,10,43,13,21.0,
251,252,박진형,21롯,-0.22,22,0,0,0,2,1,0,0.0,16.0,14,14,81,25,21.0,
252,253,나균안,21롯,-0.22,23,0,0,7,1,2,1,1.0,46.1,36,33,223,62,21.0,5800만원
253,254,한차현,21K,-0.22,3,0,0,0,0,0,0,0.0,3.2,8,8,23,10,21.0,3100만원
254,255,조병현,21S,-0.23,3,0,0,3,0,0,0,0.0,6.2,7,6,33,7,21.0,3000만원
255,256,박준표,21K,-0.23,32,0,0,0,2,4,0,4.0,32.0,24,21,158,42,21.0,12500만원
256,257,박종기,21두,-0.23,22,0,0,5,0,4,0,0.0,59.2,42,38,274,69,21.0,
257,258,김민규,21두,-0.23,31,0,0,6,2,3,0,1.0,56.1,40,38,262,64,21.0,
258,259,장원준,21두,-0.25,32,0,0,0,0,1,1,4.0,18.2,15,14,95,20,21.0,5000만원
259,260,허윤동,21삼,-0.25,1,0,0,1,0,1,0,0.0,3.2,6,5,22,8,21.0,4700만원
260,261,정수민,21S,-0.27,10,0,0,7,1,2,0,0.0,30.1,24,23,151,34,21.0,
261,262,구준범,21삼,-0.27,1,0,0,1,0,0,0,0.0,2.0,5,5,12,2,21.0,3200만원
262,263,이영하,21두,-0.28,35,0,0,11,5,6,1,2.0,78.2,58,55,364,81,21.0,16000만원
263,264,이우찬,21L,-0.28,15,0,0,5,0,1,0,0.0,34.0,25,21,161,36,21.0,6200만원
264,265,김대현,21L,-0.28,4,0,0,0,0,0,0,0.0,3.2,8,5,23,7,21.0,
265,266,고영창,21K,-0.29,24,0,0,0,0,2,0,6.0,23.1,19,15,108,30,21.0,4200만원
266,267,김성진,21키,-0.29,45,0,0,0,1,3,0,2.0,40.2,30,24,185,40,21.0,
267,268,서덕원,21K,-0.29,24,0,0,0,1,0,0,1.0,32.2,28,27,148,36,21.0,3600만원
268,269,정우람,21한,-0.3,50,0,0,0,1,4,15,1.0,44.2,29,28,199,47,21.0,80000만원
269,270,김윤수,21삼,-0.33,20,0,0,1,0,0,0,1.0,19.0,18,14,101,25,21.0,6500만원
270,271,강윤구,21N롯,-0.33,22,0,0,1,0,1,0,3.0,16.0,15,15,79,21,21.0,7300만원
271,272,김정인,21키,-0.33,11,0,0,6,1,2,0,0.0,31.2,26,25,151,34,21.0,4000만원
