,순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,연도,연봉
51,52,김성현,21S2B,1.65,110,274,237,27,67,15,0,6,100,37,5,2,29,0,0,29,8,4,4.0,21.0,
52,53,송우현,21키RF,1.51,69,282,250,34,74,17,2,3,104,42,1,1,28,2,1,49,4,1,1.0,21.0,
53,54,이재원,21SC,1.5,107,313,271,29,76,13,0,3,98,30,0,2,29,5,4,47,14,6,2.0,21.0,5200만원
54,55,박병호,21키1B,1.47,118,477,409,48,93,23,0,20,176,76,0,1,47,14,3,141,9,0,7.0,21.0,
55,56,정수빈,21두CF,1.47,104,351,313,50,81,19,4,3,117,37,12,7,29,3,1,50,7,4,2.0,21.0,60000만원
56,57,이명기,21NLF,1.38,56,232,191,30,56,12,0,2,74,14,5,3,37,1,0,27,2,3,0.0,21.0,17500만원
57,58,권희동,21NLF,1.32,55,171,133,25,35,3,0,8,62,26,2,0,29,5,1,24,4,1,3.0,21.0,11000만원
58,59,박석민,21N3B,1.32,59,205,171,27,44,8,0,10,82,41,0,0,27,2,1,43,8,3,2.0,21.0,70000만원
59,60,류지혁,21K3B,1.28,92,327,273,37,76,8,0,2,90,34,0,0,42,7,1,46,7,2,3.0,21.0,10500만원
60,61,이원석,21삼3B,1.22,131,480,399,40,92,19,0,9,138,59,1,0,60,11,2,80,11,2,8.0,21.0,3300만원
61,62,박찬호,21KSS,1.15,131,483,418,51,103,15,5,1,131,59,9,4,54,0,0,73,11,8,3.0,21.0,
62,63,김병희,21K3B,1.15,34,69,51,16,15,3,0,5,33,13,3,0,13,3,0,14,0,2,0.0,21.0,4700만원
63,64,김헌곤,21삼LF,1.14,118,364,317,38,89,8,2,4,113,27,5,4,34,5,0,46,9,3,5.0,21.0,18000만원
64,65,로맥,21S1B,1.13,107,421,355,55,80,11,0,20,151,52,1,0,59,4,1,83,9,0,3.0,21.0,
65,66,이대호,21롯DH,1.1,114,465,420,39,120,11,0,19,188,81,0,0,34,5,3,50,12,0,6.0,21.0,80000만원
66,67,문보경,21L1B,1.06,107,329,278,37,64,11,1,8,101,39,3,1,46,0,1,64,5,3,2.0,21.0,6800만원
67,68,지시완,21롯C,1.04,73,187,166,23,40,9,0,7,70,26,0,0,14,5,0,54,6,2,0.0,21.0,6000만원
68,69,조수행,21두CF,1.01,115,104,84,34,24,2,1,1,31,8,21,4,16,3,0,26,1,1,0.0,21.0,8500만원
69,70,강승호,21두2B,0.94,113,340,301,47,72,16,2,7,113,37,8,2,22,6,1,78,8,8,3.0,21.0,11500만원
70,71,송성문,21키3B,0.94,66,274,245,30,61,10,1,6,91,33,0,0,25,1,0,42,2,2,1.0,21.0,7500만원
71,72,이형종,21LDH,0.93,90,281,239,32,52,11,0,10,93,34,3,1,34,7,1,65,10,1,0.0,21.0,12000만원
72,73,안중열,21롯C,0.92,58,157,125,19,29,5,0,3,43,16,0,0,27,1,0,25,1,3,1.0,21.0,6400만원
73,74,김지찬,21삼SS,0.9,120,336,296,50,81,6,0,1,90,26,23,4,27,0,0,31,0,10,3.0,21.0,11000만원
74,75,김강민,21SCF,0.88,122,260,223,43,53,12,1,8,91,27,3,3,25,6,1,52,3,3,3.0,21.0,16000만원
75,76,김민혁,21KLF,0.87,75,198,171,22,54,6,2,1,67,13,6,3,20,2,0,27,3,5,0.0,21.0,9000만원
76,77,김민성,21L3B,0.83,121,426,360,35,80,22,0,8,126,39,3,3,42,8,2,73,7,11,5.0,21.0,
77,78,박민우,21N2B,0.83,50,215,180,30,47,5,3,1,61,18,12,3,22,7,0,23,4,4,2.0,21.0,41000만원
78,79,터커,21KLF,0.81,127,539,468,42,111,24,1,9,164,59,0,0,61,8,1,66,12,0,2.0,21.0,
79,80,오태곤,21S1B,0.81,122,253,235,47,63,10,0,9,100,35,9,4,14,2,0,52,4,1,1.0,21.0,10500만원
80,81,오윤석,21롯K2B,0.8,98,198,164,23,40,11,0,4,63,16,4,0,27,2,1,47,4,5,0.0,21.0,
81,82,최정원,21N2B,0.8,72,238,212,40,60,4,2,0,68,8,10,7,18,4,0,40,0,4,0.0,21.0,
82,83,안재석,21두SS,0.79,96,224,200,28,51,8,2,2,69,14,1,0,16,4,0,53,4,0,4.0,21.0,5800만원
83,84,김웅빈,21키3B,0.78,97,278,231,23,55,13,1,5,85,34,1,1,34,9,2,73,2,2,2.0,21.0,7000만원
84,85,이성곤,21삼한1B,0.77,62,208,174,17,46,12,2,1,65,24,1,3,29,3,0,53,4,1,1.0,21.0,6400만원
85,86,호잉,21KRF,0.76,68,294,259,32,62,11,1,11,108,52,5,2,26,4,2,52,2,0,5.0,21.0,
86,87,김재유,21롯CF,0.76,87,192,174,27,50,8,0,1,61,18,7,0,10,4,0,36,1,4,0.0,21.0,6000만원
87,88,김주원,21NSS,0.73,69,189,166,20,40,7,1,5,64,16,6,2,17,2,0,57,5,2,2.0,21.0,6000만원
88,89,페레즈,21한1B,0.69,59,252,225,26,60,15,1,5,92,33,4,5,17,4,0,52,4,0,6.0,21.0,
89,90,추재현,21롯CF,0.64,95,300,262,37,66,15,0,5,96,26,4,3,26,7,0,57,3,5,0.0,21.0,6400만원
90,91,김태진,21K3B,0.64,99,414,381,43,105,12,5,1,130,36,8,5,23,0,1,64,7,6,4.0,21.0,
91,92,김태군,21NC,0.63,102,276,232,23,51,7,0,7,79,24,0,1,21,11,0,30,4,9,3.0,21.0,20000만원
92,93,김민식,21KC,0.62,100,301,250,30,55,8,0,3,72,26,0,0,41,4,1,49,2,3,3.0,21.0,9500만원
93,94,이흥련,21SC,0.6,90,146,127,15,30,3,0,3,42,14,0,0,12,5,0,31,4,2,0.0,21.0,9000만원
94,95,한승택,21KC,0.59,82,239,203,17,44,7,0,3,60,16,0,0,28,3,0,61,6,5,0.0,21.0,8500만원
95,96,라모스,21L1B,0.58,51,205,185,14,45,7,1,8,78,25,0,0,18,2,0,43,2,0,0.0,21.0,650000달러
96,97,알몬테,21KLF,0.57,60,249,224,18,61,9,0,7,91,36,1,0,22,1,0,49,9,0,2.0,21.0,
97,98,장승현,21두C,0.57,92,211,177,18,41,10,0,2,57,27,0,0,19,8,0,50,2,6,1.0,21.0,7800만원
98,99,최용제,21두C,0.54,79,119,104,7,29,3,0,0,32,15,0,0,11,2,0,21,0,1,1.0,21.0,6500만원
99,100,송민섭,21KRF,0.46,122,64,47,39,11,0,0,0,11,7,15,1,12,0,0,21,0,5,0.0,21.0,8100만원
100,101,전병우,21키3B,0.44,114,260,213,35,40,8,0,6,66,31,3,1,33,9,0,82,0,4,1.0,21.0,7000만원
101,102,박준영,21N3B,0.43,111,315,273,37,57,7,2,8,92,31,4,3,27,10,0,92,9,3,2.0,21.0,
102,103,정주현,21L2B,0.43,73,214,181,26,43,7,1,3,61,10,3,3,24,0,0,32,4,9,0.0,21.0,8000만원
103,104,권동진,21KSS,0.42,86,85,66,21,17,5,0,1,25,6,3,3,18,0,0,30,0,1,0.0,21.0,4200만원
104,105,김민수,21삼C,0.42,47,87,76,9,20,5,0,3,34,13,0,0,6,1,0,13,2,2,2.0,21.0,
105,106,김찬형,21NS2B,0.41,88,161,132,20,30,7,0,2,43,7,0,0,16,4,0,32,1,9,0.0,21.0,
106,107,이현석,21SC,0.39,39,89,79,7,21,5,0,4,38,19,0,0,4,1,0,29,0,3,2.0,21.0,5000만원
107,108,조용호,21KLF,0.39,138,515,428,71,101,14,1,0,117,48,12,9,74,3,0,85,8,5,5.0,21.0,24000만원
108,109,김상수,21삼2B,0.38,132,496,429,46,101,17,1,3,129,42,4,2,52,3,0,51,14,8,4.0,21.0,30000만원
109,110,김준태,21롯KC,0.37,58,149,128,17,25,5,0,4,42,15,0,0,18,1,0,40,3,0,2.0,21.0,6500만원
110,111,김호령,21KCF,0.36,62,154,130,16,27,2,0,4,41,15,4,1,16,6,0,44,2,2,0.0,21.0,6000만원
111,112,이정범,21SLF,0.36,19,66,59,8,15,4,0,3,28,9,0,0,7,0,0,15,1,0,0.0,21.0,3200만원
112,113,힐리,21한1B,0.35,67,268,249,27,64,11,1,7,98,37,2,1,16,2,0,58,6,0,1.0,21.0,
113,114,이지영,21키C,0.33,108,257,232,29,63,5,1,0,70,30,3,1,19,1,2,17,10,2,3.0,21.0,30000만원
114,115,최영진,21삼3B,0.32,44,63,57,9,16,1,2,1,24,6,1,0,5,1,0,12,1,0,0.0,21.0,6500만원
115,116,노수광,21한CF,0.3,52,180,160,21,37,7,0,3,53,14,13,1,17,1,0,46,1,2,0.0,21.0,12840만원
116,117,크레익,21키1B,0.3,61,247,222,25,55,12,0,6,85,30,0,1,20,4,1,43,4,0,1.0,21.0,
117,118,김주형,21키SS,0.3,36,70,50,5,9,3,0,0,12,5,1,0,4,13,0,15,0,3,0.0,21.0,4500만원
118,119,김성표,21삼CF,0.29,39,24,18,10,6,0,0,0,6,1,2,1,5,0,0,7,0,1,0.0,21.0,3800만원
119,120,허도환,21KC,0.29,62,125,105,8,29,6,0,2,41,21,0,0,8,2,0,28,3,10,0.0,21.0,10000만원
120,121,최인호,21한LF,0.27,49,164,136,17,28,6,0,4,46,23,2,1,24,2,0,43,1,0,2.0,21.0,
121,122,이영빈,21L1B,0.27,72,169,148,21,36,9,0,2,51,16,6,3,15,3,0,51,1,2,1.0,21.0,5500만원
122,123,신본기,21K2B,0.26,96,205,173,25,41,8,0,1,52,19,1,2,22,4,0,44,6,5,1.0,21.0,11500만원
